"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"some_location_1","1","Vykoupení z věznice Shawshank (1994)","","","","some_translator_comment","some_developer_comment"
"","2","Kmotr (1972)","","","","",""
"","3","Kmotr II (1974)","","","","",""
"some_location_4","4","Temný rytíř (2008)","","","","",""
"","5","Dvanáct rozhněvaných mužů (1957)","","","","",""
"some_location_6","6","Schindlerův seznam (1993)","","","","",""
"some_location_7","7","Pán prstenů: Návrat krále (2003)","","","","",""
"some_location_88","8","Pulp Fiction: Historky z podsvětí (1994)","","","","",""
"","9","Hodný, zlý a ošklivý (1966)","","","","",""
"","10","Pán prstenů: Společenstvo Prstenu (2001)","","","","",""
"","11","Klub rváčů (1999)","","","","",""
"","12","Forrest Gump (1994)","","","","ignore-same","ignore-same"
"","13","Počátek (2010)","","","","",""
"","14","Star Wars: Epizoda V - Impérium vrací úder (1980)","","","","",""
"","15","Pán prstenů: Dvě věže (2002)","","","","",""
"","16","Matrix (1999)","","","","",""
"","17","Mafiáni (1990)","","","","",""
"","20","Sedm (1995)","","","","",""
"","19","Sedm samurajů (1954)","","","","",""
